N20140422Q30F118V3	14:07:25	-20:15:42	40	13.333	2014-04-23T11:41:50
N20140422Q30F119V3	14:14:15	-21:14:54	40	13.333	2014-04-23T11:43:00
N20140422Q30F120V3	14:14:12	-19:16:30	40	13.333	2014-04-23T11:44:10
N20140422Q30F117V4	14:07:28	-18:17:18	40	13.333	2014-04-23T11:45:20
N20140422Q30F118V4	14:07:25	-20:15:42	40	13.333	2014-04-23T11:46:30
N20140422Q30F119V4	14:14:15	-21:14:54	40	13.333	2014-04-23T11:47:40
N20140422Q30F120V4	14:14:12	-19:16:30	40	13.333	2014-04-23T11:48:50
N20140422Q30F117V5	14:07:28	-18:17:18	40	13.333	2014-04-23T11:50:00
N20140422Q30F118V5	14:07:25	-20:15:42	40	13.333	2014-04-23T11:51:10
N20140422Q30F119V5	14:14:15	-21:14:54	40	13.333	2014-04-23T11:52:20
N20140422Q30F120V5	14:14:12	-19:16:30	40	13.333	2014-04-23T11:53:30
SLEW_QX_QY	14:14:12	-19:16:30	60	13.333	2014-04-23T11:55:00
N20140422Q31F121V1	14:07:13	-21:58:30	40	13.333	2014-04-23T11:56:10
N20140422Q31F122V1	14:07:10	-23:56:54	40	13.333	2014-04-23T11:57:20
N20140422Q31F123V1	14:14:11	-24:54:06	40	13.333	2014-04-23T11:58:30
N20140422Q31F124V1	14:14:08	-22:57:42	40	13.333	2014-04-23T11:59:40
N20140422Q31F121V2	14:07:13	-21:58:30	40	13.333	2014-04-23T12:00:50
N20140422Q31F122V2	14:07:10	-23:56:54	40	13.333	2014-04-23T12:02:00
N20140422Q31F123V2	14:14:11	-24:54:06	40	13.333	2014-04-23T12:03:10
N20140422Q31F124V2	14:14:08	-22:57:42	40	13.333	2014-04-23T12:04:20
N20140422Q31F121V3	14:07:13	-21:58:30	40	13.333	2014-04-23T12:05:30
N20140422Q31F122V3	14:07:10	-23:56:54	40	13.333	2014-04-23T12:06:40
N20140422Q31F123V3	14:14:11	-24:54:06	40	13.333	2014-04-23T12:07:50
N20140422Q31F124V3	14:14:08	-22:57:42	40	13.333	2014-04-23T12:09:00
N20140422Q31F121V4	14:07:13	-21:58:30	40	13.333	2014-04-23T12:10:10
N20140422Q31F122V4	14:07:10	-23:56:54	40	13.333	2014-04-23T12:11:20
N20140422Q31F123V4	14:14:11	-24:54:06	40	13.333	2014-04-23T12:12:30
N20140422Q31F124V4	14:14:08	-22:57:42	40	13.333	2014-04-23T12:13:40
N20140422Q31F121V5	14:07:13	-21:58:30	40	13.333	2014-04-23T12:14:50
N20140422Q31F122V5	14:07:10	-23:56:54	40	13.333	2014-04-23T12:16:00
N20140422Q31F123V5	14:14:11	-24:54:06	40	13.333	2014-04-23T12:17:10
N20140422Q31F124V5	14:14:08	-22:57:42	40	13.333	2014-04-23T12:18:20
SLEW_QX_QY	14:14:08	-22:57:42	60	13.333	2014-04-23T12:19:50
N20140422Q32F125V1	14:06:55	-25:39:42	40	13.333	2014-04-23T12:21:00
N20140422Q32F126V1	14:06:52	-27:36:06	40	13.333	2014-04-23T12:22:10
